STREET,QUADRANT,FROMINTERSECTION,TOINTERSECTION,NOOFBLOCKS,WORKDESCRIPTION,YEARBUDGETED,PERCENTCOMPLETED,STATUS,MILES,WARD,FUNCTIONALCLASS,ESTIMATEDSTARTDATE,ESTIMATEDCOMPLETIONDATE,ACTUALCOMPLETIONDATE,REMARKS,XCOORD,YCOORD,LATITUDE,LONGITUDE,PROJECTNOTE,PROJECTNAME,PROJECTMGR,PROJECTID,TEAMREP,EMAIL,CONTACTPHONE
43rd St,NW,New Mexico Ave,Cul De Sac,13,Pavement Resurface/restoration,2004,100,Completed,0.56,3,LOCAL,07/19/2004 07:00:00 AM +0000,,07/27/2004 07:00:00 AM +0000,,392737.27449,142151.20023,38.9472270429822,-77.0837815797263,N/A,Citywide Pavement Restoration,Paul Stephenson,8931,Madibo,N/A,202-671-4591
Pennsylvania Ave,SE,Interstate 295 (N),Anacostia Dr,1,Pavement Resurface/restoration,2004,100,Completed,0.19,6,PRINCIPAL ARTERIAL,,,07/28/2004 07:00:00 AM +0000,,401927.14358,134325.47238,38.8767581494106,-76.9777907530411,,,,5934,,,
12th Pl,NE,Taylor St,Upshur St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/28/2004 07:00:00 AM +0000,,400930.36195,141485.59408,38.9412606031896,-76.9892684007295,,,,4015,,,
Kenilworth Ave,NE,Lane Pl,44th St,1,Pavement Resurface/restoration,2004,100,Completed,0.1,7,LOCAL,03/31/2004 08:00:00 AM +0000,,07/29/2004 07:00:00 AM +0000,,405128.20759,137472.51107,38.9050949995008,-76.9408768070464,,,,5122,,,
N St,NE,3rd St,Florida Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.07,6,LOCAL,03/31/2004 08:00:00 AM +0000,,07/29/2004 07:00:00 AM +0000,,399877.5087,137708.50886,38.9072359009846,-77.0014122465801,,,,5131,,,
Kearny St,NE,20th St,24th St,2,Pavement Resurface/restoration,2004,100,Completed,0.23,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/29/2004 07:00:00 AM +0000,,402237.80941,140362.66,38.9311425210441,-76.9741908337206,,CIP_2004-2009,,4053,,,
Evarts St,NE,4th St,Edgewood St,2,Pavement Resurface/restoration,2004,100,Completed,0.17,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,Extended limits  from 6th St to Edgewood St,400089.01696,139626.07888,38.9245100132936,-76.9989734426016,,,,5127,,,
Orren St,NE,Neal St,Levis St,2,Pavement Resurface/restoration,2004,100,Completed,0.13,5,LOCAL,03/31/2004 08:00:00 AM +0000,03/31/2004 08:00:00 AM +0000,07/30/2004 07:00:00 AM +0000,Extended limits  from Oates St to Levis St,401318.00038,137339.49168,38.9039106856849,-76.9848050043735,,,,5130,,,
4th St,NE,Rhode Island Ave,Edgewood St,4,Pavement Resurface/restoration,2004,100,Completed,0.22,5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,,399950.65821,139277.53901,38.9213702574815,-77.0005689921277,,FedAid_6YR_CIP,,4765,,,
Washington Cir,NW,23rd St (S),23rd St (S),8,Pavement Resurface/restoration,2004,100,Completed,0.23,2,PRINCIPAL ARTERIAL,,,07/30/2004 07:00:00 AM +0000,,395706.63385,137168.70339,38.9023626674888,-77.0494963946902,,,,5940,,,
Raum St,NE,Trinidad Ave,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.03,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,,401490.3383,137757.57465,38.9076766476462,-76.9828172434665,,,,4059,,,
G St,SE,Kentucky Ave,17th St,2,Pavement Resurface/restoration,2004,100,Completed,0.14,6,LOCAL,03/31/2004 08:00:00 AM +0000,,07/30/2004 07:00:00 AM +0000,,401565.45901,134825.5743,38.8812639816084,-76.9819578252985,,CIP_2004-2009,,4091,,,
K St,SE,12th St,Barney Cir,4,Pavement Resurface/restoration,2004,100,Completed,0.45,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/02/2004 07:00:00 AM +0000,,401207.94038,134507.41641,38.8783984549901,-76.9860788459025,,,,5152,,,
Patterson St,NE,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.17,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/02/2004 07:00:00 AM +0000,,399358.09971,137621.11558,38.906448406109,-77.0074006193246,,,,4671,,,
Pierce St,NE,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.18,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/02/2004 07:00:00 AM +0000,,399351.45245,137425.96969,38.9046904588674,-77.0074770728685,,,,4672,,,
Connecticut Ave,NW,Chevy Chase Cir (N),Maryland Line,1,Pavement Resurface/restoration,2004,100,Completed,0.02,3,LOCAL,,,08/03/2004 07:00:00 AM +0000,,393314.44646,144473.88586,38.9681549754958,-77.0771460674358,,,,5935,,,
New Hampshire Ave,NW,N St,Sunderland Pl,1,Pavement Resurface/restoration,2004,100,Completed,0.08,2,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,08/07/2004 07:00:00 AM +0000,,396070.88217,137755.60976,38.9076514286705,-77.0453004888662,,FedAid_6YR_CIP,FY-05,4240,,,
Taylor St,NE,20th St,22nd St,1,Pavement Resurface/restoration,2004,100,Completed,0.12,5,LOCAL,03/31/2004 08:00:00 AM +0000,,08/28/2004 07:00:00 AM +0000,,402149.81994,141426.0888,38.9407224246636,-76.9752023046811,,,,4155,,,
Edgewood St,NE,4th St,Edgewood St,5,Pavement Resurface/restoration,2004,100,Completed,0.31,5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,08/30/2004 07:00:00 AM +0000,,400165.94742,139586.37072,38.9241522983849,-76.9980862781968,,,,5126,,,
18th St,NE,Irving St,Jackson St,1,Pavement Resurface/restoration,2004,100,Completed,0.09,5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,08/30/2004 07:00:00 AM +0000,,401791.78768,140185.69184,38.9295493600922,-76.9793353658713,,FedAid_6YR_CIP,,4411,,,
Grace St,NW,Wisconsin Ave,Potomac St,2,Reconstruction,1999,100,Completed,0.12,2,LOCAL,03/15/2002 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,2 Year CIP 2001 - 2003,394457.84844,137347.76845,38.9039687619203,-77.0638945519631,,,,4713,,,
27th St,NW,Poplar St,East Pl,2,Regular Cover,2004,100,Completed,0.09,2,LOCAL,03/31/2004 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,,395187.39334,137972.65075,38.9096022148635,-77.0554881301979,1st Aid to State,CIP_2004-2009,,4836,,,
37th St,NW,Prospect St,N St,1,Regular Cover,2004,100,Completed,0.06,2,LOCAL,03/31/2004 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,,393794.20975,137602.62742,38.9062601852213,-77.0715478329339,,CIP_2004-2009,,3428,,,
Dumbarton St,NW,30th St,31st St,1,Regular Cover,2003,100,Completed,0.12,2,LOCAL,03/31/2004 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,,394777.07657,137756.12617,38.9076493447982,-77.0602173300629,1st Aid to State,CIP_2004-2009,,3448,,,
O St,NW,27th St,29th St,2,Regular Cover,2004,100,Completed,0.13,2,LOCAL,03/31/2004 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,Added per Biddy,395056.10371,137852.94854,38.9085231677303,-77.0570010040724,,CIP_2004-2009,,2117,,,
5th St,NW,Ridge St,O St,2,Regular Cover,2004,100,Completed,0.15,2,LOCAL,03/31/2004 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,,398357.68236,137738.94745,38.90750857655,-77.0189349476555,1st Aid to State,CIP_2004-2009,,4342,,,
O St,NW,30th St,Wisconsin Ave (N),2,Regular Cover,2004,100,Completed,0.26,2,LOCAL,03/31/2004 08:00:00 AM +0000,,02/26/2004 08:00:00 AM +0000,,394662.15769,137845.45741,38.9084533808904,-77.0615429731901,,CIP_2004-2009,,4371,,,
58th Pl,NE,Cul De Sac,Blaine St,1,Regular Cover,1999,100,Completed,0.04,7,LOCAL,03/31/2004 08:00:00 AM +0000,11/20/2003 08:00:00 AM +0000,03/26/2004 08:00:00 AM +0000,2 Year CIP 2001 - 2003,407196.5512,135868.04828,38.8906269231896,-76.9170476581682,,Local Street Upgr-W7,,2374,,,
N St,SE,29th St,30th St,1,Upgrading,1999,100,Completed,0.09,7,LOCAL,03/31/2004 08:00:00 AM +0000,05/01/2004 07:00:00 AM +0000,03/26/2004 08:00:00 AM +0000,basin&pipe work  curb/gutter and sdwks comlpeted. Base asphalt completed march 26th. Remaining work  surface asphalt and line striping. SURFACE ASPHALT COMPLETED. REMAINING WORK: STREET LIGHT,402985.53459,134087.55971,38.8746119812555,-76.9655944256336,,Local Street Upgr-W7,Zahra Dorriz,2577,,,
Decatur St,NE,8th St,10th St,1,Upgrading,1999,100,Completed,0.13,5,LOCAL,09/14/2003 07:00:00 AM +0000,06/09/2003 07:00:00 AM +0000,04/06/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003  Shortened the limit of the original project  per Khalid,400537.58985,142262.8137,38.9482623459848,-76.9937983647244,,,Maurice Passmore,4793,,,
Girard St,NW,14th St (S),15th St,1,Regular Cover,1999,100,Completed,0.16,1,LOCAL,06/15/2002 07:00:00 AM +0000,05/30/2003 07:00:00 AM +0000,04/12/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,397063.07596,139725.8025,38.925403451881,-77.0338694889747,,Local Street Upgr-W1,,2425,,,
Girard St,NE,13th St,14th St,1,Upgrading,1999,100,Completed,0.13,5,LOCAL,06/23/2003 07:00:00 AM +0000,11/11/2003 08:00:00 AM +0000,04/15/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,401123.65664,139870.40704,38.9267102846977,-76.987041417351,,,M.Passmore,2570,,,
C St,SE,33rd St,34th St,1,Upgrading,1999,100,Completed,0.13,7,LOCAL,03/31/2004 08:00:00 AM +0000,05/14/2004 07:00:00 AM +0000,06/04/2004 07:00:00 AM +0000,basin/pipe work  sidewalk  curb/gutter  driveway aprons completed. phase 1 base asphalt in -place. pcc barriers moved  phase 11 excavation and gab started.,403587.27479,135352.90656,38.8860084687088,-76.9586533127478,,Local Street Upgr-W7,,2659,,,
14th St,NW,Roxanna Rd,Eastern Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.06,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/13/2004 07:00:00 AM +0000,07/13/2004 07:00:00 AM +0000,,397276.4224,146648.12017,38.9877621888494,-77.031436604812,N/A,CITYWIDE PAVEMENT RESTORATION,Paul Stephenson,3900,Rodney Olive and William Lester,N/A,(202)6714591
8th St,NW,Jefferson St,Longfellow St,2,Pavement Resurface/restoration,2004,100,Completed,0.16,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/13/2004 07:00:00 AM +0000,07/13/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,397916.903,143158.34083,38.9563271908303,-77.0240333214588,N/A,Citywide Pavement Restoration,Paul Stephenson,2983,Rodney Olive and William Lester,N/A,(202)6714591
Piney Branch Rd,NW,Missouri Ave,Peabody St,2,Pavement Resurface/restoration,2004,100,Completed,0.1,4,LOCAL,03/31/2004 08:00:00 AM +0000,,07/14/2004 07:00:00 AM +0000,Extended limits of work,397510.98572,143790.55149,38.9620212509372,-77.0287188065144,N/A,Citywide Pavement Restoration,Paul Stephenson,5440,Rodney Olive and William Lester,N/A,(202)6714591
32nd St,NW,Tennyson St,Worthington St (S),2,Pavement Resurface/restoration,2004,100,Completed,0.22,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/14/2004 07:00:00 AM +0000,07/14/2004 07:00:00 AM +0000,Extended limits of work,394601.59945,145114.34052,38.9739331968815,-77.0622983755886,N/A,Citywide Pavement Restoration,Paul Stephenson,5441,Rodney Olive and William Lester,N/A,(202)6714591
P St,NW,22nd St,26th St,3,Bridge Construction,2000,100,Completed,0.32,2,MINOR ARTERIAL,09/15/2001 07:00:00 AM +0000,05/25/2004 07:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,2 Year CIP 2001 - 2003,395509.55379,137977.14765,38.9096444294418,-77.0517737324152,,,,5881,,,
Kanawha St,NW,Nevada Ave,Chevy Chase Pky,1,Pavement Resurface/restoration,2004,100,Completed,0.11,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,,393972.20758,143603.4218,38.9603183816485,-77.0695483684146,N/A,citywide pavement restoration,paul stephenson,3975,R. Olive & W. Lester,N/A,202 671-4591
Legation St,NW,31st St,32nd St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,4,LOCAL,03/31/2004 08:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,,394513.55225,143829.81012,38.9623612931204,-77.0633041740384,N/A,Citywide Pavement Restoration,Paul Stephenson,4233,Rodney Olive and WilliamLester,N/A,(202)6714591
Morrison St,NW,Chevy Chase Pky,Connecticut Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.2,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,07/15/2004 07:00:00 AM +0000,,393650.72495,144012.25124,38.9639989542814,-77.073261402977,N/A,Citywide Pavement Restoration ,Paul Stephenson,3796,R. Olive & w. Lester,N/A,202 671 4591
Skyland Ter,SE,Cul De Sac,24th St,1,Pavement Resurface/restoration,2004,100,Completed,0.04,8,LOCAL,03/31/2004 08:00:00 AM +0000,,07/15/2004 07:00:00 AM +0000,,402320.68218,132494.53657,38.8602633829948,-76.9732616223629,2nd Aid to State,CIP_2004-2009,,4280,,,
New York Ave,NW,1st St,4th St,6,Pavement Resurface/restoration,2004,100,Completed,0.24,5/6,PRINCIPAL ARTERIAL,,,07/16/2004 07:00:00 AM +0000,,398771.00377,137523.92198,38.9055722274526,-77.0141692124061,,,,5937,,,
Interstate 395,BN,K St (E),New York Ave,1,Pavement Resurface/restoration,2004,100,Completed,0.19,6,INTERSTATE,,,07/16/2004 07:00:00 AM +0000,,398672.40326,137318.46441,38.9037212501902,-77.0153055897342,,,,5938,,,
48th Pl,NW,Van Ness St,Fordham Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.08,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/16/2004 07:00:00 AM +0000,07/16/2004 07:00:00 AM +0000,,391700.82341,141761.9376,38.9437112769785,-77.0957331877114,N/A,Citywide Pavement Restoration,Paul Stephenson,4510,Rodney Olive and William Lester,N/A,(202)6714591
45th St,NW,Springdale St,Van Ness St (E),2,Pavement Resurface/restoration,2004,100,Completed,0.09,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/16/2004 07:00:00 AM +0000,07/16/2004 07:00:00 AM +0000,,392390.98284,141639.63955,38.9426158304038,-77.0877706656723,N/A,Citywide Pavement Restoration,Paul Stephenson,4109,Rodney and Lester,N/A,202-671-4591
Appleton St,NW,31st St,32nd St,1,Pavement Resurface/restoration,2004,100,Completed,0.08,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/16/2004 07:00:00 AM +0000,07/16/2004 07:00:00 AM +0000,,394482.52089,142332.37075,38.9488717721417,-77.0636501756057,N/A,ciitywide pavement restoration ,paul stephenson,3951,R. ollive & w. lester,N/A,202 6714591
L St,NW,24th St,25th St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,2,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,07/17/2004 07:00:00 AM +0000,Location requested at obligation meeting 1/18/2001,395458.44655,137321.72752,38.903739915463,-77.0523586518722,,,,3920,,,
D St,NE,Maryland Ave,Tennessee Ave,8,Pavement Resurface/restoration,2004,100,Completed,0.57,6,LOCAL,,,07/19/2004 07:00:00 AM +0000,,400748.01331,136326.26128,38.8947838118776,-76.9913773888134,,,,5288,,,
Idaho Ave,NW,39th St,Macomb St,2,Pavement Resurface/restoration,2004,100,Completed,0.18,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/19/2004 07:00:00 AM +0000,07/19/2004 07:00:00 AM +0000,,393398.66374,140509.26397,38.9324412259328,-77.0761361111297,N/A,citywide pavement,paul stephenson ,3558,R. oleve & w. lester,N/A,202 671 4591
17th St,NW,De Sales St,M St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,2,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,07/20/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,396660.36102,137483.70502,38.9052044538056,-77.0385028124117,,,,2757,,,
Edmunds St,NW,44th St,Foxhall Rd,1,Pavement Resurface/restoration,2004,100,Completed,0.22,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/20/2004 07:00:00 AM +0000,07/20/2004 07:00:00 AM +0000,,392362.15237,139782.33837,38.9258844588951,-77.0880825556793,2nd Aid to State,citywide pavement restoration,paul stephenson ,3963,R. olive & w. lester,N/A,202 671 4591
32nd St,NW,Fulton St,Woodland Dr,1,Pavement Resurface/restoration,2004,100,Completed,0.22,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/20/2004 07:00:00 AM +0000,07/20/2004 07:00:00 AM +0000,,394489.79647,139701.22838,38.9251697121923,-77.0635451153045,N/A,Citywide Pavement Restoration,Paul Stephenson,3943,William Lester,N/A,(202)6714591
F St,NE,11th St,13th St,2,Pavement Resurface/restoration,2004,100,Completed,0.15,6,LOCAL,03/31/2004 08:00:00 AM +0000,,07/20/2004 07:00:00 AM +0000,,400874.82941,136610.8454,38.8973473323758,-76.9899151728577,,,,4043,,,
T St,NE,Lincoln Rd,2nd St,2,Pavement Resurface/restoration,2004,100,Completed,0.22,5,COLLECTOR,03/31/2004 08:00:00 AM +0000,,07/21/2004 07:00:00 AM +0000,,399514.90038,138632.97021,38.9155636376907,-77.0055935423569,,,,5145,,,
Q St,NW,1st St,New Jersey Ave,3,Pavement Resurface/restoration,2004,100,Completed,0.25,5,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,07/21/2004 07:00:00 AM +0000,,398742.86998,138139.8,38.9111202292149,-77.0144946969078,,FedAid_6YR_CIP,,4764,,,
Warren St,NE,Constitution Ave,C St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,6,LOCAL,03/31/2004 08:00:00 AM +0000,,07/21/2004 07:00:00 AM +0000,,401173.62473,136105.08528,38.8927909118299,-76.9864715949254,,CIP_2004-2009,,4678,,,
Channing St,NW,North Capitol St,1st St,1,Pavement Resurface/restoration,2004,100,Completed,0.17,5,LOCAL,03/31/2004 08:00:00 AM +0000,,07/21/2004 07:00:00 AM +0000,,399081.23997,139388.8831,38.9223728020545,-77.0105949657444,,,,3442,,,
Eskridge Ter,NW,Dana Pl,Cul De Sac,2,Pavement Resurface/restoration,2004,100,Completed,0.1,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/21/2004 07:00:00 AM +0000,07/21/2004 07:00:00 AM +0000,,391391.17471,139792.30467,38.9259652622705,-77.0992803549832,N/A,Citywide Pavement Restoration,Paul Stephenson,4527,Rodney and Lester,N/A,202-671-4591
Ellicott St,NW,45th St,46th St,1,Pavement Resurface/restoration,2004,100,Completed,0.11,3,LOCAL,03/31/2004 08:00:00 AM +0000,07/22/2004 07:00:00 AM +0000,07/22/2004 07:00:00 AM +0000,,392231.81516,142827.6689,38.9533165307967,-77.0896201309118,N/A,Citywide Pavement Restoration,Paul Stephenson,4114,Rodney and Lester,N/A,202-671-4591
Denver St,SE,33rd St,Branch Ave,1,Regular Cover,1999,100,Completed,0.06,7,LOCAL,03/31/2004 08:00:00 AM +0000,06/15/2004 07:00:00 AM +0000,07/23/2004 07:00:00 AM +0000,basin and pipe work completed. curb/gutter and driveway aprons completed.,403510.82499,132282.5685,38.8583499398914,-76.9595501484842,,Local Street Upgr-W7,,2375,,,
K St,NW,11th St,12th St,1,Pavement Resurface/restoration,2004,100,Completed,0.07,2,PRINCIPAL ARTERIAL,03/31/2004 08:00:00 AM +0000,,07/24/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,397609.42105,137185.66224,38.9025226731417,-77.0275600301789,,FedAid_6YR_CIP,FY-05,2783,,,
Quintana Pl,NW,8th St,9th St,1,Pavement Resurface/restoration,2004,100,Completed,0.1,4,LOCAL,03/31/2004 08:00:00 AM +0000,,07/26/2004 07:00:00 AM +0000,,397825.90483,144050.19268,38.9643609998688,-77.0250860224411,N/A,Citywide Pavement Restoration,Paul Stephenson,4127,R. olive &w.Lester,N/A,202 671-4591
2nd St,SE,Independence Ave,D St (N),2,Pavement Resurface/restoration,2004,100,Completed,0.2,6,LOCAL,03/31/2004 08:00:00 AM +0000,,09/16/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,399695.03344,135388.78425,38.8863389339303,-77.0035150401605,,,,2922,,,
Bladensburg Rd,NE,South Dakota Ave,South Dakota Ave,0,High Accident Intersection,2004,100,Completed,0,5,MINOR ARTERIAL,,,09/17/2004 07:00:00 AM +0000,,403020.92397,139699.78035,38.9251687513655,-76.9651619132533,,,,5380,,,
12th St,NW,Fern St,Geranium St,2,Pavement Resurface/restoration,2004,100,Completed,0.1,4,LOCAL,03/31/2004 08:00:00 AM +0000,08/10/2004 07:00:00 AM +0000,08/10/2004 07:00:00 AM +0000,,397584.88,145640.785,38.9786888005068,-77.0278727159634,N/A,Citywide Pavement Restoration,Paul Stephenson,3899,Rodney Olive and William Lester,N/A,(202)6714591
New Jersey Ave,NW,Rhode Island Ave,S St,1,Pavement Resurface/restoration,2004,100,Completed,0.04,2/5,MINOR ARTERIAL,03/31/2004 08:00:00 AM +0000,,08/10/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,398453.14073,138451.39981,38.9139267634195,-77.0178359742175,,,,2850,,,
Wisconsin Ave,NW,K St,R St,16,Reconstruction,2003,100,Completed,0.81,2,MINOR ARTERIAL,12/09/2003 08:00:00 AM +0000,,08/13/2004 07:00:00 AM +0000,Originally FedAid_6YR_CIP for 03/31/05 from K St to M St (FAR)  Added per e-mail  Georgetown Project,394408.32732,137966.34832,38.9095408293245,-77.0644705090742,,,,5106,,,
A St,SE,3rd St,5th St,2,Pavement Resurface/restoration,2004,100,Completed,0.14,6,LOCAL,03/31/2004 08:00:00 AM +0000,,08/13/2004 07:00:00 AM +0000,,399932.82915,135648.82688,38.8886815466666,-77.0007742356664,,CIP_2004-2009,,4655,,,
U St,SE,14th St,Cul De Sac,1,Pavement Resurface/restoration,2004,100,Completed,0.03,8,LOCAL,03/31/2004 08:00:00 AM +0000,,08/13/2004 07:00:00 AM +0000,2 Year SP 2000 - 2002,401293.21542,133115.11503,38.8658559228534,-76.985098695627,2nd Aid to State,cip_2004-2009,,4724,,,
Fitch St,SE,51st St,Southern Ave,3,Pavement Resurface/restoration,2004,100,Completed,0.28,7,COLLECTOR,04/04/2005 07:00:00 AM +0000,,08/13/2004 07:00:00 AM +0000,,406355.75287,134796.203,38.8809778160744,-76.926749180544,,,,5928,,,
New York Ave,NE,Florida Ave,9th St,2,Design,2004,100,Completed,0.72,5,PRINCIPAL ARTERIAL,,,08/16/2004 07:00:00 AM +0000,,400131.85721,138126.56009,38.911001848766,-76.9984796901804,,,,5936,,,
